Area;Year;GDP per capita - with interpolations;Type of data;Data period;Longer description;Growth linked to which year;If use region or neighbor - what is used;Source ;Source notes;Other notes;Adjustments of data;Regional average multiplied with spread-ot factor;Other footnotes;Other footnotes;Other footnotes
Chile;1977;4 757;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1978;5 071;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1979;5 409;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1980;5 749;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1981;6 004;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1982;5 096;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1983;4 868;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1984;5 071;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1985;5 091;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1986;5 291;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1987;5 547;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1988;5 851;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1989;6 359;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1990;6 479;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1991;6 877;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1992;7 596;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1993;8 001;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1994;8 501;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1995;9 082;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1996;9 620;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1997;10 118;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1998;10 310;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;1999;10 106;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;2000;10 435;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;2001;10 665;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;2002;10 779;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;2003;11 083;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;2004;11 650;Growth, national;1820-2005;;;;Maddison on-line.;;;;;;;
Chile;2005;12 262;Level.;2005;;;;ICP.;;;;;;;
Chile;2006;12 846;Growth, national;2005-2018.;;2005;;IMF (2013);;;;;;;
Chile;2007;13 380;Growth, national;2005-2018.;;2005;;IMF (2013);;;;;;;
Chile;2008;13 653;Growth, national;2005-2018.;;2005;;IMF (2013);;;;;;;
Chile;2009;13 401;Growth, national;2005-2018.;;2005;;IMF (2013);;;;;;;
Chile;2010;14 038;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Chile;2011;14 735;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Chile;2012;15 404;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Chile;2013;16 023;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Chile;2014;16 618;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Chile;2015;17 232;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Chile;2016;17 888;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Chile;2017;18 570;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
Chile;2018;19 277;Growth, national, guesstimate.;2005-2018.;Based on projected growth from IMF (2013).;2005;;IMF (2013);;;;;;;
China;1500;;;;;;;;;;;;;;
China;1501;;;;;;;;;;;;;;
China;1502;;;;;;;;;;;;;;
China;1503;;;;;;;;;;;;;;
China;1504;;;;;;;;;;;;;;
China;1505;;;;;;;;;;;;;;
China;1506;;;;;;;;;;;;;;
China;1507;;;;;;;;;;;;;;
China;1508;;;;;;;;;;;;;;
China;1509;;;;;;;;;;;;;;
China;1510;;;;;;;;;;;;;;
China;1511;;;;;;;;;;;;;;
China;1512;;;;;;;;;;;;;;
China;1513;;;;;;;;;;;;;;
China;1514;;;;;;;;;;;;;;
China;1515;;;;;;;;;;;;;;
China;1516;;;;;;;;;;;;;;
China;1517;;;;;;;;;;;;;;
China;1518;;;;;;;;;;;;;;
China;1519;;;;;;;;;;;;;;
China;1520;;;;;;;;;;;;;;
China;1521;;;;;;;;;;;;;;
China;1522;;;;;;;;;;;;;;
China;1523;;;;;;;;;;;;;;
China;1524;;;;;;;;;;;;;;
China;1525;;;;;;;;;;;;;;
China;1526;;;;;;;;;;;;;;
China;1527;;;;;;;;;;;;;;
China;1528;;;;;;;;;;;;;;
China;1529;;;;;;;;;;;;;;
China;1530;;;;;;;;;;;;;;
China;1531;;;;;;;;;;;;;;
China;1532;;;;;;;;;;;;;;
China;1533;;;;;;;;;;;;;;
China;1534;;;;;;;;;;;;;;
China;1535;;;;;;;;;;;;;;
China;1536;;;;;;;;;;;;;;
China;1537;;;;;;;;;;;;;;
China;1538;;;;;;;;;;;;;;
China;1539;;;;;;;;;;;;;;
China;1540;;;;;;;;;;;;;;
China;1541;;;;;;;;;;;;;;
China;1542;;;;;;;;;;;;;;
China;1543;;;;;;;;;;;;;;
China;1544;;;;;;;;;;;;;;
China;1545;;;;;;;;;;;;;;
China;1546;;;;;;;;;;;;;;
China;1547;;;;;;;;;;;;;;
China;1548;;;;;;;;;;;;;;
China;1549;;;;;;;;;;;;;;
China;1550;;;;;;;;;;;;;;
China;1551;;;;;;;;;;;;;;
China;1552;;;;;;;;;;;;;;
China;1553;;;;;;;;;;;;;;
China;1554;;;;;;;;;;;;;;
China;1555;;;;;;;;;;;;;;
China;1556;;;;;;;;;;;;;;
China;1557;;;;;;;;;;;;;;
China;1558;;;;;;;;;;;;;;
China;1559;;;;;;;;;;;;;;
China;1560;;;;;;;;;;;;;;
China;1561;;;;;;;;;;;;;;
China;1562;;;;;;;;;;;;;;
China;1563;;;;;;;;;;;;;;
China;1564;;;;;;;;;;;;;;
China;1565;;;;;;;;;;;;;;
China;1566;;;;;;;;;;;;;;
China;1567;;;;;;;;;;;;;;
China;1568;;;;;;;;;;;;;;
China;1569;;;;;;;;;;;;;;
China;1570;;;;;;;;;;;;;;
China;1571;;;;;;;;;;;;;;
China;1572;;;;;;;;;;;;;;
China;1573;;;;;;;;;;;;;;
China;1574;;;;;;;;;;;;;;
China;1575;;;;;;;;;;;;;;
China;1576;;;;;;;;;;;;;;
China;1577;;;;;;;;;;;;;;
China;1578;;;;;;;;;;;;;;
China;1579;;;;;;;;;;;;;;
China;1580;;;;;;;;;;;;;;
China;1581;;;;;;;;;;;;;;
China;1582;;;;;;;;;;;;;;
China;1583;;;;;;;;;;;;;;
China;1584;;;;;;;;;;;;;;
China;1585;;;;;;;;;;;;;;
China;1586;;;;;;;;;;;;;;
China;1587;;;;;;;;;;;;;;
China;1588;;;;;;;;;;;;;;
China;1589;;;;;;;;;;;;;;
China;1590;;;;;;;;;;;;;;
China;1591;;;;;;;;;;;;;;
China;1592;;;;;;;;;;;;;;
China;1593;;;;;;;;;;;;;;
China;1594;;;;;;;;;;;;;;
China;1595;;;;;;;;;;;;;;
China;1596;;;;;;;;;;;;;;
China;1597;;;;;;;;;;;;;;
China;1598;;;;;;;;;;;;;;
China;1599;;;;;;;;;;;;;;
China;1600;1 208;Extrapolated.;1600;Extrapolated, assuming zero growth 1600-1740. Assumption based on van Zanden (e1867) & Allen (e1856).;;1740;NA;;;;;;;
China;1601;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1602;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1603;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1604;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1605;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1606;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1607;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1608;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1609;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1610;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1611;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1612;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1613;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1614;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1615;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1616;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1617;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1618;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1619;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1620;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1621;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1622;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1623;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1624;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1625;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1626;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1627;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1628;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1629;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1630;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1631;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1632;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1633;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1634;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1635;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1636;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1637;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1638;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1639;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1640;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1641;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1642;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1643;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1644;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1645;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1646;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1647;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1648;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1649;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1650;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1651;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1652;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1653;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1654;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1655;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1656;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1657;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1658;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1659;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1660;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1661;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1662;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1663;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1664;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1665;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1666;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1667;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1668;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1669;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1670;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1671;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1672;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1673;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1674;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1675;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1676;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1677;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1678;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1679;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1680;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1681;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1682;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1683;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1684;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1685;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1686;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1687;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1688;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1689;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1690;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1691;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1692;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1693;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1694;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1695;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1696;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1697;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1698;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1699;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1700;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1701;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1702;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1703;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1704;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1705;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1706;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1707;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1708;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1709;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1710;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1711;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1712;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1713;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1714;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1715;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1716;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1717;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1718;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1719;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1720;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1721;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1722;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1723;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1724;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1725;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1726;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1727;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1728;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1729;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1730;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1731;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1732;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1733;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1734;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1735;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1736;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1737;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1738;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1739;1 208;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1740;1 208;Level, guesstimated.;1740;The level is based on the ratio of China at this time to the level of UK in 1800. The ratio is taken from van Zanden (e1867).  The level in 1800 for UK is based on the growth in 1800-2005 from Maddison on-line and the ICP benchmark, rather than the adjusted growth rates we use. The documentation explain the background fo this estimate in more detail.;;;Based on van Zanden (e1867).;;The UK data used for this ratio was the data in version 13 of the dataset (which used maddison on-line rather than Measuring Worth, as in version 14). However, the difference is 10%, at the most, which is within any reasonable error margin.;;;;;
China;1741;1 204;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1742;1 200;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1743;1 196;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1744;1 192;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1745;1 188;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1746;1 184;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1747;1 180;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1748;1 176;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1749;1 172;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1750;1 168;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1751;1 164;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1752;1 160;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1753;1 156;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1754;1 152;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1755;1 148;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1756;1 144;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1757;1 141;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1758;1 137;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1759;1 133;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1760;1 129;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1761;1 125;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1762;1 121;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1763;1 118;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1764;1 114;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1765;1 110;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1766;1 106;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1767;1 103;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1768;1 099;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1769;1 095;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1770;1 091;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1771;1 088;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1772;1 084;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1773;1 080;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1774;1 077;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1775;1 073;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1776;1 069;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1777;1 066;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1778;1 062;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1779;1 059;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1780;1 055;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1781;1 051;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1782;1 048;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1783;1 044;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1784;1 041;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1785;1 037;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1786;1 034;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1787;1 030;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1788;1 027;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1789;1 023;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1790;1 020;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1791;1 016;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1792;1 013;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1793;1 010;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1794;1 006;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1795;1 003;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1796;999;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1797;996;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1798;993;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1799;989;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1800;986;Growth, national, guesstimate.;1740, 1800, 1820, 1850, 1856, 1864:;Guestimates of movements based on movements in real wages (real wages taken from e1796 & e1869). The movements at the time of the Taiping rebellion was assumed to be smaller than the movements in the real wage data. The series is linked to level in 1740, but we also checked so that the movements 1864-1870 made sense.;1740.;;Based on e1796 & e1869.;;;;;;;
China;1801;979;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1802;973;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1803;966;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1804;960;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1805;954;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1806;947;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1807;941;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1808;935;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1809;929;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1810;922;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1811;916;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1812;910;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1813;904;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1814;898;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1815;892;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1816;886;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1817;880;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1818;875;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1819;869;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1820;863;Growth, national, guesstimate.;1740, 1800, 1820, 1850, 1856, 1864:;Guestimates of movements based on movements in real wages (real wages taken from e1796 & e1869). The movements at the time of the Taiping rebellion was assumed to be smaller than the movements in the real wage data. The series is linked to level in 1740, but we also checked so that the movements 1864-1870 made sense.;1740.;;Based on e1796 & e1869.;;;;;;;
China;1821;859;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1822;855;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1823;851;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1824;847;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1825;843;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1826;839;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1827;835;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1828;831;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1829;827;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1830;824;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1831;820;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1832;816;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1833;812;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1834;808;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1835;805;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1836;801;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1837;797;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1838;793;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1839;790;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1840;786;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1841;782;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1842;779;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1843;775;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1844;771;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1845;768;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1846;764;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1847;761;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1848;757;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1849;754;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1850;750;Growth, national, guesstimate.;1740, 1800, 1820, 1850, 1856, 1864:;Guestimates of movements based on movements in real wages (real wages taken from e1796 & e1869). The movements at the time of the Taiping rebellion was assumed to be smaller than the movements in the real wage data. The series is linked to level in 1740, but we also checked so that the movements 1864-1870 made sense.;1740.;;Based on e1796 & e1869.;;;;;;;
China;1851;701;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1852;655;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1853;612;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1854;572;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1855;535;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1856;500;Growth, national, guesstimate.;1740, 1800, 1820, 1850, 1856, 1864:;Guestimates of movements based on movements in real wages (real wages taken from e1796 & e1869). The movements at the time of the Taiping rebellion was assumed to be smaller than the movements in the real wage data. The series is linked to level in 1740, but we also checked so that the movements 1864-1870 made sense.;1740.;;Based on e1796 & e1869.;;;;;;;
China;1857;512;Interpolated.;;Interpolated.;;;NA;;;;;;;
China;1858;523;Interpolated.;;Interpolated.;;;NA;;;;;;;
